word,pronunciation
coachman,ˈkoʊʧmən
coagulate,koʊˈægjəˌleɪt
coagulation,koʊˈægjəˈleɪʃən
coal,koʊl
coalesce,ˌkoʊəˈlɛs
coalesced,ˌkoʊəˈlɛst
coalescence,ˌkoʊəˈlɛsəns
coalesces,ˌkoʊəˈlɛsɪz
coalescing,ˌkoʊəˈlɛsɪŋ
coalition,ˌkoʊəˈlɪʃən
coalitions,ˌkoʊəˈlɪʃənz
coals,koʊlz
coarse,kɔrs
coarser,ˈkɔrsər
coast,koʊst
coastal,ˈkoʊstəl
coasted,ˈkoʊstɪd
coaster,ˈkoʊstər
coasters,ˈkoʊstərz
coasting,ˈkoʊstɪŋ
coastline,ˈkoʊˌstlaɪn
coastlines,ˈkoʊˌstlaɪnz
coasts,koʊsts
coat,koʊt
coated,ˈkoʊtɪd
coating,ˈkoʊtɪŋ
coatings,ˈkoʊtɪŋz
coats,koʊts
coauthor,ˈkoʊˈɑθər
coauthored,ˈkoʊˈɑθərd
coauthoring,ˈkoʊˈɑθərɪŋ
coauthors,ˈkoʊˈɑθərz
coax,koʊks
coaxed,koʊkst
coaxes,ˈkoʊksɪz
coaxial,ˈkoʊˈæksiəl
coaxing,ˈkoʊksɪŋ
cob,kɑb
cobalt,ˈkoʊˌbɔlt
cobble,ˈkɑbəl
cobbled,ˈkɑbəld
cobbler,ˈkɑblər
cobblers,ˈkɑblərz
cobblestones,ˈkɑbəlˌstoʊnz
coble,ˈkoʊbəl
cobra,ˈkoʊbrə
cobras,ˈkoʊbrəz
cobs,kɑbz
cobweb,ˈkɑbˌwɛb
cobwebs,ˈkɑbˌwɛbz
coca,ˈkoʊkə
cocaine,koʊˈkeɪn
cochlea,ˈkɑkliə
cochlear,ˈkɑkliər
cock,kɑk
cockatoo,ˈkɑkəˌtu
cockatoos,ˈkɑkəˌtuz
cocked,kɔkt
cockeyed,ˈkɑˌkaɪd
cockiness,ˈkɑkinəs
cocking,ˈkɑkɪŋ
cockle,ˈkɑkəl
cockles,ˈkɑkəlz
cockney,ˈkɑkni
cockpit,ˈkɑkˌpɪt
cockpits,ˈkɑkˌpɪts
cockroach,ˈkɑˌkroʊʧ
cockroaches,ˈkɑˌkroʊʧɪz
cocks,kɑks
cocktail,ˈkɑkˌteɪl
cocktails,ˈkɑkˌteɪlz
cocky,ˈkɑki
cocoa,ˈkoʊkoʊ
coconut,ˈkoʊkəˌnət
coconuts,ˈkoʊkəˌnəts
cocoon,kəˈkun
cocoons,kəˈkunz
cod,ˈsiˈoʊˈdi
coda,ˈkoʊdə
coddle,ˈkɑdəl
coddling,ˈkɑdəlɪŋ
code,koʊd
codebreaker,ˈkoʊdˌbreɪkər
coded,ˈkoʊdɪd
coder,ˈkoʊdər
codes,koʊdz
codification,ˌkɑdəfəˈkeɪʃən
codified,ˈkɑdəˌfaɪd
codifies,ˈkoʊdəˌfaɪz
codify,ˈkoʊdəˌfaɪ
codifying,ˈkoʊdəˌfaɪɪŋ
coding,ˈkoʊdɪŋ
coefficient,ˌkoʊəˈfɪʃənt
coefficients,ˌkoʊəˈfɪʃənts
coerce,koʊərs
coerced,koʊərst
coercing,koʊəˈrsɪŋ
coercion,koʊəˈrʃən
coercive,koʊəˈrsɪv
coexist,ˌkoʊəgˈzɪst
coexisted,ˌkoʊəgˈzɪstəd
coexistence,ˌkoʊɪgˈzɪstəns
coexisting,ˌkoʊɪgˈzɪstɪŋ
coffee,ˈkɔfi
coffees,ˈkɔfiz
coffer,ˈkɔfər
coffers,ˈkɔfərz
coffin,ˈkɔfɪn
coffins,ˈkɔfɪnz
cog,kɔg
cogency,ˈkoʊʤənsi
cogent,ˈkoʊʤənt
cogitate,ˈkɑʤɪˌteɪt
cogitation,ˌkɑʤɪˈteɪʃən
cognac,ˈkɑnˌjæk
cognition,kɑgˈnɪʃən
cognitive,ˈkɑgnɪtɪv
cognizance,ˈkɑgnəzəns
cognizant,ˈkɑgnəzənt
cognoscenti,ˌkɑgnɔˈʃɛnˌti
cohabit,koʊˈhæbɪt
cohabitation,koʊˌhæbəˈteɪʃən
cohabiting,koʊˈhæbɪtɪŋ
cohere,koʊˈhɪr
cohered,koʊˈhɪrd
coherence,koʊˈhɪrəns
coherent,koʊˈhɪrənt
coherently,koʊˈhirəntli
coheres,koʊˈhɪrz
cohesion,koʊˈhiʒən
cohesive,koʊˈhisɪv
cohesively,koʊˈhisɪvli
cohesiveness,koʊˈhisɪvnəs
cohort,ˈkoʊhɔrt
cohorts,ˈkoʊhɔrts
coil,kɔɪl
coiled,kɔɪld
coiling,ˈkɔɪˌlɪŋ
coils,kɔɪlz
coin,kɔɪn
coinage,ˈkɔɪnɪʤ
coincide,ˌkoʊɪnˈsaɪd
coincided,ˌkoʊənˈsaɪdəd
coincidence,koʊˈɪnsɪdəns
coincidences,koʊˈɪnsədənsɪz
coincident,koʊˈɪnsədənt
coincidental,koʊˌɪnsəˈdɛntəl
coincidentally,koʊˌɪnsɪˈdɛntəli
coincides,ˌkoʊɪnˈsaɪdz
coinciding,ˌkoʊənˈsaɪdɪŋ
coined,kɔɪnd
coiner,ˈkɔɪnər
coining,ˈkɔɪnɪŋ
coins,kɔɪnz
coitus,ˈkɔɪtəs
coke,koʊk
cola,ˈkoʊlə
colander,ˈkɑləndər
colas,ˈkoʊləs
cold,koʊld
colder,ˈkoʊldər
coldest,ˈkoʊldəst
coldly,ˈkoʊldli
coldness,ˈkoʊldnəs
colds,koʊldz
cole,koʊl
coleslaw,ˈkoʊlsˌlɑ
collaborate,kəˈlæbərˌeɪt
collaborated,kəˈlæbərˌeɪtɪd
collaborating,kəˈlæbərˌeɪtɪŋ
collaboration,kəˌlæbərˈeɪʃən
collaborationist,kəˌlæbərˈeɪʃənɪst
collaborations,ˌkɑləbərˈeɪʃənz
collaborative,kəˈlæbərˌeɪtɪv
collaborator,kəˈlæbərˌeɪtər
collaborators,kəˈlæbərˌeɪtərz
collage,kəˈlɑʒ
collagen,ˈkɑləgən
collages,kəˈlɑʒɪz
collapse,kəˈlæps
collapsed,kəˈlæpst
collapses,kəˈlæpsɪz
collapsible,kəˈlæpsəbəl
collapsing,kəˈlæpsɪŋ
collar,ˈkɑlər
collarbone,ˈkɑlərˌboʊn
collared,ˈkɑlərd
collars,ˈkɑlərz
collate,kəˈleɪt
collateral,kəˈlætərəl
colleague,ˈkɑlig
colleagues,ˈkɑligz
collect,kəˈlɛkt
collected,kəˈlɛktəd
collecting,kəˈlɛktɪŋ
collection,kəˈlɛkʃən
collections,kəˈlɛkʃənz
collective,kəˈlɛktɪv
collectively,kəˈlɛktɪvli
collectives,kəˈlɛktɪvz
collectivism,kəˈlɛktɪˌvɪzəm
collectivist,kəˈlɛktɪvɪst
collector,kəˈlɛktər
collectors,kəˈlɛktərz
collects,kəˈlɛkts
college,ˈkɑlɪʤ
colleges,ˈkɑlɪʤɪz
collegial,kəˈliʤiəl
collegiate,kəˈliʤɪt
collide,kəˈlaɪd
collided,kəˈlaɪdɪd
collides,kəˈlaɪdz
colliding,kəˈlaɪdɪŋ
collie,ˈkɑli
collier,ˈkɑljər
colliers,ˈkɑljərz
collies,ˈkɑliz
collins,ˈkɑlɪnz
collision,kəˈlɪʒən
collisional,kəˈlɪʒənəl
collisions,kəˈlɪʒənz
collocation,kɑləˈkeɪʃən
colloid,ˈkɑlɔɪd
colloidal,kəˈlɔɪdəl
colloquial,kəˈloʊkwiəl
colloquium,kəˈloʊkwiəm
collude,kəˈlud
colluded,kəˈludɪd
colluding,kəˈludɪŋ
collusion,kəˈluʒən
cologne,kəˈloʊn
colon,ˈkoʊlən
colonel,ˈkərnəl
colonels,ˈkərnəlz
colonial,kəˈloʊniəl
colonialism,kəˈloʊniəˌlɪzəm
colonialist,kəˈloʊniəlɪst
colonialists,kəˈloʊniəlɪsts
colonials,kəˈloʊniəlz
colonies,ˈkɑləniz
colonist,ˈkɑlənɪst
colonists,ˈkɑlənɪsts
colonnade,ˌkɑləˈneɪd
colony,ˈkɑləni
colossal,kəˈlɑsəl
colossally,kəˈlɑsəˌli
colossus,kəˈlɑsəs
colour,ˈkələr
colouring,ˈkələrˌrɪŋ
colt,koʊlt
colts,koʊlts
columbus,kəˈləmbəs
column,ˈkɑləm
columned,ˈkɑləmd
columnist,ˈkɑləmnəst
columnists,ˈkɑləmnəsts
columns,ˈkɑləmz
coma,ˈkoʊmə
comas,ˈkoʊməz
comatose,ˈkoʊməˌtoʊs
comb,koʊm
combat,ˈkɑmbæt
combatant,kəmˈbætənt
combatants,kəmˈbætənts
combating,kəmˈbætɪŋ
combative,ˌkɑmˈbæˌtɪv
combativeness,kəmˈbætɪvnəs
combats,kəmˈbæts
combed,koʊmd
comber,ˈkoʊmər
combination,ˌkɑmbəˈneɪʃən
combinations,ˌkɑmbəˈneɪʃənz
combine,ˈkɑmbaɪn
combined,kəmˈbaɪnd
combines,kəmˈbaɪnz
combing,ˈkoʊmɪŋ
combining,kəmˈbaɪnɪŋ
combs,koʊmz
combustion,kəmˈbəsʧən
come,kəm
comeback,ˈkəmˌbæk
comedian,kəˈmidiən
comedians,kəˈmidiənz
comedies,ˈkɑmədiz
comedown,ˈkəmˌdaʊn
comedy,ˈkɑmədi
comely,ˈkəmli
comer,ˈkəmər
comers,ˈkəmərz
comes,kəmz
comet,ˈkɑmət
cometary,ˈkɑməˌtɛri
comets,ˈkɑməts
comfort,ˈkəmfərt
comfortable,ˈkəmfərtəbəl
comfortably,ˈkəmfərtəbli
comforted,ˈkəmfərtɪd
comforter,ˈkəmfərtər
comforters,ˈkəmfərtərz
comforting,ˈkəmfərtɪŋ
comforts,ˈkəmfərts
comfy,ˈkəmfi
comic,ˈkɑmɪk
comical,ˈkɑmɪkəl
comically,ˈkɑmɪkəli
comics,ˈkɑmɪks
coming,ˈkəmɪŋ
comings,ˈkəmɪŋz
comity,ˈkoʊmɪti
comma,ˈkɑmə
command,kəˈmænd
commandant,ˌkɑmənˈdɑnt
commanded,kəˈmændɪd
commandeer,ˌkɑmənˈdɪr
commandeered,ˌkɑmənˈdɪrd
commander,kəˈmændər
commanders,kəˈmændərz
commanding,kəˈmændɪŋ
commandment,kəˈmændmənt
commandments,kəˈmændmənts
commando,kəˈmænˌdoʊ
commands,kəˈmændz
commas,ˈkɑməz
commemorate,kəˈmɛmərˌeɪt
commemorated,kəˈmɛmərˌeɪtɪd
commemorates,kəˈmɛmərˌeɪts
commemorating,kəˈmɛmərˌeɪtɪŋ
commemoration,kəˌmɛmərˈeɪʃən
commemorations,kəˌmɛmərˈeɪʃənz
commemorative,kəˈmɛmərˌeɪtɪv
commence,kəˈmɛns
commenced,kəˈmɛnst
commencement,kəˈmɛnsmənt
commences,kəˈmɛnsəz
commencing,kəˈmɛnsɪŋ
commend,kəˈmɛnd
commendable,kəˈmɛndəbəl
commendation,ˌkɑmənˈdeɪʃən
commended,kəˈmɛndɪd
commending,kəˈmɛndɪŋ
commends,kəˈmɛndz
commensurate,kəˈmɛnsərɪt
commensurately,kəˈmɛnʃərətli
comment,ˈkɑmɛnt
commentaries,ˈkɑmənˌtɛriz
commentary,ˈkɑmənˌtɛri
commentator,ˈkɑmənˌteɪtər
commentators,ˈkɑmənˌteɪtərz
commented,ˈkɑmɛntəd
commenter,ˈkɑmɛntər
commenting,ˈkɑmɛntɪŋ
comments,ˈkɑmɛnts
commerce,ˈkɑmərs
commercial,kəˈmərʃəl
commercialism,kəˈmərʃəˌlɪzəm
commercially,kəˈmərʃəli
commercials,kəˈmərʃəlz
commiserate,kəˈmɪsərˌeɪt
commissar,ˈkɑməˌsɑr
commissars,ˈkɑmɪsɑz
commission,kəˈmɪʃən
commissioned,kəˈmɪʃənd
commissioner,kəˈmɪʃənər
commissioners,kəˈmɪʃənərz
commissioning,kəˈmɪʃənɪŋ
commissions,kəˈmɪʃənz
commit,kəˈmɪt
commitment,kəˈmɪtmənt
commitments,kəˈmɪtmənts
commits,kəˈmɪts
committal,kəˈmɪtəl
committed,kəˈmɪtɪd
committee,kəˈmɪti
committees,kəˈmɪtiz
committing,kəˈmɪtɪŋ
commode,kəˈmoʊd
commodious,kəˈmoʊdiəs
commodities,kəˈmɑdətiz
commodity,kəˈmɑdəti
commodore,ˈkɑməˌdɔr
common,ˈkɑmən
commonalities,ˌkɑməˈnælətiz
commonality,ˌkɑməˈnæləti
commoner,ˈkɑmənər
commoners,ˈkɑmənərz
commonly,ˈkɑmənli
commonplace,ˈkɑmənˌpleɪs
commons,ˈkɑmənz
commonsense,ˌkɑmənˈsɛns
commonsensical,ˌkɑmənˈsɛnsɪkəl
commonwealth,ˈkɑmənˌwɛlθ
commotion,kəˈmoʊʃən
communal,kəmˈjunəl
commune,ˈkɑmjun
communes,ˈkɑmjunz
communicable,kəmˈjunəkəbəl
communicate,kəmˈjunəˌkeɪt
communicated,kəmˈjunəˌkeɪtɪd
communicates,kəmˈjunɪˌkeɪts
communicating,kəmˈjunəˌkeɪtɪŋ
communication,kəmˌjunəˈkeɪʃən
communications,kəmˌjunəˈkeɪʃənz
communicative,kəmˈjunəkətɪv
communicator,kəmˈjunəˌkeɪtər
communicators,kəmˈjunəkeɪtərz
communing,kəmˈjunɪŋ
communion,kəmˈjunjən
communique,kəmˌjunəˈkeɪ
communiques,kəmˌjunɪˈkeɪz
communism,ˈkɑmjəˌnɪzəm
communist,ˈkɑmjənəst
communists,ˈkɑmjənəsts
communities,kəmˈjunɪtiz
community,kəmˈjunɪti
commutation,ˌkɑmjəˈteɪʃən
commute,kəmˈjut
commuted,kəmˈjutɪd
commuter,kəmˈjutər
commuters,kəmˈjutərz
commutes,kəmˈjuts
commuting,kəmˈjutɪŋ
compact,ˈkɑmpækt
compacted,kəmˈpæktɪd
compactness,kəmˈpæktnəs
compacts,ˈkɑmpækts
companies,ˈkəmpəˌniz
companion,kəmˈpænjən
companions,kəmˈpænjənz
companionship,kəmˈpænjənˌʃɪp
company,ˈkəmpəˌni
comparability,ˌkɑmpərəˈbɪlɪˌti
comparable,ˈkɑmprəbəl
comparably,ˈkɑmprəˌbli
comparative,kəmˈpærətɪv
comparatively,kəmˈpærətɪvˌli
comparator,kəmˈpærəˌtər
compare,kəmˈpɛr
compared,kəmˈpɛrd
compares,kəmˈpɛrz
comparing,kəmˈpɛrɪŋ
comparison,kəmˈpɛrəsən
comparisons,kəmˈpɛrəsənz
compartment,kəmˈpɑrtmənt
compartments,kəmˈpɑrtmənts
compass,ˈkəmpəs
compassion,kəmˈpæʃən
compassionate,kəmˈpæʃənət
compassionately,kəmˈpæʃənəˌtli
compatibility,kəmˌpætəˈbɪləˌti
compatible,kəmˈpætəbəl
compatibles,kəmˈpætɪbəlz
compatriot,kəmˈpeɪtriət
compatriots,kəmˈpeɪtriəts
compel,kəmˈpɛl
compelled,kəmˈpɛld
compelling,kəmˈpɛlɪŋ
compellingly,kəmˈpɛlɪŋli
compels,kəmˈpɛlz
compendium,kəmˈpɛndiəm
compensate,ˈkɑmpənˌseɪt
compensated,ˈkɑmpənˌseɪtəd
compensates,ˈkɑmpənˌseɪts
compensating,ˈkɑmpənˌseɪtɪŋ
compensation,ˌkɑmpənˈseɪʃən
compensations,ˌkɑmpənˈseɪʃənz
compensatory,kəmˈpɛnsəˌtɔri
compete,kəmˈpit
competed,kəmˈpitɪd
competence,ˈkɑmpətɪns
competencies,ˈkɑmpətɪnsiz
competency,ˈkɑmpətɪnsi
competent,ˈkɑmpətɪnt
competently,ˈkɑmpətɪntli
competes,kəmˈpits
competing,kəmˈpitɪŋ
competition,ˌkɑmpəˈtɪʃən
competitions,ˌkɑmpəˈtɪʃənz
competitive,kəmˈpɛtɪtɪv
competitively,kəmˈpɛtɪtɪvli
competitiveness,kəmˈpɛtɪtɪvnɪs
competitor,kəmˈpɛtɪtər
competitors,kəmˈpɛtɪtərz
compilation,ˌkɑmpəˈleɪʃən
compilations,ˌkɑmpəˈleɪʃənz
compile,kəmˈpaɪl
compiled,kəmˈpaɪld
compiler,kəmˈpaɪlər
compilers,kəmˈpaɪlərz
compiles,kəmˈpaɪlz
compiling,kəmˈpaɪlɪŋ
complacency,kəmˈpleɪsənsi
complacent,kəmˈpleɪsənt
complacently,kəmˈpleɪsəntli
complain,kəmˈpleɪn
complainant,kəmˈpleɪnənt
complainants,kəmˈpleɪnənts
complained,kəmˈpleɪnd
complainer,kəmˈpleɪnər
complaining,kəmˈpleɪnɪŋ
complains,kəmˈpleɪnz
complaint,kəmˈpleɪnt
complaints,kəmˈpleɪnts
complaisant,kəmˈpleɪsənt
complement,ˈkɑmpləmənt
complementary,ˌkɑmpləˈmɛnʧi
complemented,ˈkɑmpləˌmɛntɪd
complementing,ˈkɑmpləˌmɛntɪŋ
complements,ˈkɑmpləmənts
complete,kəmˈplit
completed,kəmˈplitɪd
completely,kəmˈplitli
completeness,kəmˈplitnəs
completes,kəmˈplits
completing,kəmˈplitɪŋ
completion,kəmˈpliʃən
completions,kəmˈpliʃənz
complex,ˈkɑmplɛks
complexes,ˈkɑmplɛksəz
complexion,kəmˈplɛkʃən
complexions,kəmˈplɛkʃənz
complexities,kəmˈplɛksɪtiz
complexity,kəmˈplɛksɪti
compliance,kəmˈplaɪəns
compliant,kəmˈplaɪənt
complicate,ˈkɑmpləˌkeɪt
complicated,ˈkɑmpləˌkeɪtəd
complicates,ˈkɑmplɪˌkeɪts
complicating,ˈkɑmpləˌkeɪtɪŋ
complication,ˌkɑmpləˈkeɪʃən
complications,ˌkɑmpləˈkeɪʃənz
complicit,kəmˈplɪsət
complicity,kəmˈplɪsɪti
complied,kəmˈplaɪd
complies,kəmˈplaɪz
compliment,ˈkɑmpləmɛnt
complimentary,ˌkɑmpləˈmɛntəri
complimented,ˈkɑmpləˌmɛntɪd
complimenting,ˈkɑmpləˌmɛntɪŋ
compliments,ˈkɑmpləmɛnts
comply,kəmˈplaɪ
complying,kəmˈplaɪɪŋ
component,kəmˈpoʊnənt
components,kəmˈpoʊnənts
comport,kəmˈpɔrt
compose,kəmˈpoʊz
composed,kəmˈpoʊzd
composer,kəmˈpoʊzər
composers,kəmˈpoʊzərz
composes,kəmˈpoʊzɪz
composing,kəmˈpoʊzɪŋ
composite,kəmˈpɑzət
composites,kəmˈpɑzəts
composition,ˌkɑmpəˈzɪʃən
compositional,ˌkɑmpəˈzɪʃənəl
compositions,ˌkɑmpəˈzɪʃənz
compost,ˈkɑmpoʊst
composure,kəmˈpoʊʒər
compound,ˈkɑmpaʊnd
compounded,kəmˈpaʊndɪd
compounding,kəmˈpaʊndɪŋ
compounds,ˈkɑmpaʊndz
comprehend,ˌkɑmpriˈhɛnd
comprehended,ˌkɑmprɪˈhɛndɪd
comprehending,ˌkɑmprɪˈhɛndɪŋ
comprehends,ˌkɑmpriˈhɛndz
comprehensibility,ˌkɑmpriˌhɛnsəˈbɪləti
comprehensible,ˌkɑmpriˈhɛnsəbəl
comprehension,ˌkɑmpriˈhɛnʃən
comprehensive,ˌkɑmpriˈhɛnsɪv
comprehensively,ˌkɑmprɪˈhɛnsɪvli
compress,ˈkɑmprɛs
compressed,kəmˈprɛst
compresses,ˈkɑmprɛsəz
compressing,kəmˈprɛsɪŋ
compression,kəmˈprɛʃən
compressor,kəmˈprɛsər
compressors,kəmˈprɛsərz
comprise,kəmˈpraɪz
comprised,kəmˈpraɪzd
comprises,kəmˈpraɪzɪz
comprising,kəmˈpraɪzɪŋ
compromise,ˈkɑmprəˌmaɪz
compromised,ˈkɑmprəˌmaɪzd
compromises,ˈkɑmprəˌmaɪzɪz
compromising,ˈkɑmprəˌmaɪzɪŋ
comptroller,ˈkɑmˌtroʊlər
compulsion,kəmˈpəlʃən
compulsions,kəmˈpʊlʃənz
compulsive,kəmˈpəlsɪv
compulsively,kəmˈpəlsɪvli
compulsory,kəmˈpəlsəri
compunction,kəmˈpəŋkʃən
computation,ˌkɑmpjəˈteɪʃən
computational,ˌkɑmpjuˈteɪʃənəl
computations,ˌkɑmpjuˈteɪʃənz
compute,kəmˈpjut
computed,kəmˈpjutɪd
computer,kəmˈpjutər
computers,kəmˈpjutərz
computes,kəmˈpjuts
computing,kəmˈpjutɪŋ
comrade,ˈkɑmˌræd
comrades,ˈkɑmˌrædz
con,kɑn
concatenate,kənˈkætəˌneɪt
concatenated,kənˈkætəˌneɪtəd
concatenates,kənˈkætəˌneɪts
concatenating,kənˈkætəˌneɪtɪŋ
concatenation,kənˌkætəˈneɪʃən
concave,ˈkɑnkeɪv
conceal,kənˈsil
concealed,kənˈsild
concealing,kənˈsilɪŋ
concealment,kənˈsilmənt
conceals,kənˈsilz
concede,kənˈsid
conceded,kənˈsidɪd
concedes,kənˈsidz
conceding,kənˈsidɪŋ
conceit,kənˈsit
conceited,kənˈsitəd
conceivable,kənˈsivəbəl
conceivably,kənˈsivəbli
conceive,kənˈsiv
conceived,kənˈsivd
conceiving,kənˈsivɪŋ
concentrate,ˈkɑnsənˌtreɪt
concentrated,ˈkɔnsənˌtreɪtɪd
concentrates,ˈkɑnsənˌtreɪts
concentrating,ˈkɑnsənˌtreɪtɪŋ
concentration,ˌkɑnsənˈtreɪʃən
concentrations,ˌkɑnsənˈtreɪʃənz
concentric,kənˈsɛntrɪk
concept,ˈkɑnsɛpt
conception,kənˈsɛpʃən
conceptions,kənˈsɛpʃənz
concepts,ˈkɑnsɛpts
conceptual,kənˈsɛpʧuəl
conceptually,kənˈsɛpʧuəli
concern,kənˈsərn
concerned,kənˈsərnd
concerning,kənˈsərnɪŋ
concerns,kənˈsərnz
concert,ˈkɑnsərt
concerted,kənˈsərtɪd
concerti,kənˈʧɛrti
concertina,kɑnsərˈtinə
concerto,kənˈʧɛrtoʊ
concerts,ˈkɑnsərts
concession,kənˈsɛʃən
concessional,kənˈsɛʃənəl
concessionary,kənˈsɛʃəˌnɛri
concessions,kənˈsɛʃənz
concierge,ˌkɑnsiˈɛrʒ
conciliation,kənˌsɪliˈeɪʃən
conciliator,kənˈsɪliˌeɪtər
conciliatory,kənˈsɪˌliəˌtɔri
concise,kənˈsaɪs
concisely,kənˈsaɪsli
conclave,ˈkɑnˌkleɪv
conclude,kənˈklud
concluded,kənˈkludɪd
concludes,kənˈkludz
concluding,kənˈkludɪŋ
conclusion,kənˈkluʒən
conclusions,kənˈkluʒənz
conclusive,kənˈklusɪv
conclusively,kənˈklusɪvli
concoct,kənˈkɑkt
concocted,kənˈkɑktəd
concocting,kənˈkɑktɪŋ
concoction,kənˈkɑkʃən
concoctions,kənˈkɑkʃənz
concomitant,ˌkɑnˈkɑmətənt
concomitantly,ˌkɑnˈkɑmətəntli
concord,ˈkɑnˌkɔrd
concourse,ˈkɑnˌkɔrs
concourses,ˈkɑnˌkɔrsɪz
concrete,ˈkɑnkrit
concretely,ˈkɑnˌkritli
concubine,ˈkɑnkjəˌbaɪn
concubines,ˈkɑnkjəˌbaɪnz
concur,kənˈkər
concurred,kənˈkərd
concurrence,kənˈkərəns
concurrent,kənˈkərənt
concurrently,kənˈkərəntli
concurring,kənˈkərɪŋ
concurs,kənˈkərz
concussion,kənˈkəʃən
condemn,kənˈdɛm
condemnation,ˌkɑndəmˈneɪʃən
condemnations,ˌkɑndəmˈneɪʃənz
condemned,kənˈdɛmd
condemning,kənˈdɛmɪŋ
condemns,kənˈdɛmz
condensate,ˈkɑndənˌseɪt
condensation,ˌkɑndənˈseɪʃən
condense,kənˈdɛns
condensed,kənˈdɛnst
condenser,kənˈdɛnsər
condensing,kənˈdɛnsɪŋ
condescend,ˌkɑndɪˈsɛnd
condescending,ˌkɑndɪˈsɛndɪŋ
condescension,ˌkɑndəˈsɛnʃən
condiment,ˈkɑndəmənt
condiments,ˈkɑndəmənts
condition,kənˈdɪʃən
conditional,kənˈdɪʃənəl
conditionality,kənˌdɪʃəˈnælɪti
conditionally,kənˈdɪʃənəli
conditioned,kənˈdɪʃənd
conditioner,kənˈdɪʃənər
conditioners,kənˈdɪʃənərz
conditioning,kənˈdɪʃənɪŋ
conditions,kənˈdɪʃənz
condolence,kənˈdoʊləns
condolences,kənˈdoʊlənsəz
condone,kənˈdoʊn
condoned,kənˈdoʊnd
condones,kənˈdoʊnz
condoning,kənˈdoʊnɪŋ
condor,ˈkɑndər
condors,ˈkɑndərz
conducive,kənˈdusɪv
conduct,ˈkɑndəkt
conducted,kənˈdəktəd
conducting,kənˈdəktɪŋ
conduction,kənˈdəkʃən
conductive,kənˈdəktɪv
conductivity,ˌkɑnˌdəkˈtɪvəti
conductor,kənˈdəktər
conductors,kənˈdəktərz
conducts,kənˈdəkts
conduit,ˈkɑnʤuɪt
conduits,ˈkɑndwəts
cone,koʊn
cones,koʊnz
confection,kənˈfɛkʃən
confectioner,kənˈfɛkʃənər
confectioners,kənˈfɛkʃənərz
confectionery,kənˈfɛkʃəˌnɛri
confections,kənˈfɛkʃənz
confederacy,kənˈfɛdərəsi
confederate,kənˈfɛdərˌeɪt
confederation,kənˌfɛdərˈeɪʃən
confer,kənˈfər
conference,ˈkɑnfərəns
conferences,ˈkɑnfərənsəz
conferencing,ˈkɑnfrənsɪŋ
conferred,kənˈfərd
conferring,kənˈfərɪŋ
confers,kənˈfərz
confess,kənˈfɛs
confessed,kənˈfɛst
confesses,kənˈfɛsɪz
confessing,kənˈfɛsɪŋ
confession,kənˈfɛʃən
confessional,kənˈfɛʃənəl
confessionals,kənˈfɛʃənəlz
confessions,kənˈfɛʃənz
confetti,kənˈfɛti
confidant,ˈkɑnfəˌdɑnt
confidante,ˈkɑnfəˌdænt
confidants,ˈkɑnfəˌdænts
confide,kənˈfaɪd
confided,kənˈfaɪdɪd
confidence,ˈkɑnfədɛns
confidences,ˈkɑnfəˌdɛnsɪz
confident,ˈkɑnfədənt
confidential,ˌkɑnfəˈdɛnʃəl
confidentiality,ˌkɑnfəˌdɛnʃiˈæləti
confidentially,ˌkɑnfəˈdɛnʃəli
confidently,ˈkɑnfədəntli
confides,kənˈfaɪdz
confiding,kənˈfaɪdɪŋ
configuration,kənˌfɪgjərˈeɪʃən
configurations,kənˌfɪgjərˈeɪʃənz
configure,kənˈfɪgjər
configured,kənˈfɪgjərd
configuring,kənˈfɪgjərɪŋ
confine,kənˈfaɪn
confined,kənˈfaɪnd
confinement,kənˈfaɪnmənt
confines,ˈkɑnˌfaɪnz
confining,kənˈfaɪnɪŋ
confirm,kənˈfərm
confirmation,ˌkɑnfərˈmeɪʃən
confirmations,ˌkɑnfərˈmeɪʃənz
confirmatory,kənˈfərməˌtɔri
confirmed,kənˈfərmd
confirming,kənˈfərmɪŋ
confirms,kənˈfərmz
confiscate,ˈkɑnfəˌskeɪt
confiscated,ˈkɑnfəˌskeɪtəd
confiscating,ˈkɑnfəˌskeɪtɪŋ
confiscation,ˌkɑnfəˈskeɪʃən
confiscatory,kənˈfɪskəˌtɔri
conflagration,ˌkɑnfləˈgreɪʃən
conflates,kənˈfleɪts
conflation,kənˈfleɪʃən
conflict,ˈkɑnflɪkt
conflicted,kənˈflɪktɪd
conflicting,kənˈflɪktɪŋ
conflicts,ˈkɑnflɪkts
confluence,ˈkɑnfluəns
confluent,kɑnˈfluənt
conform,kənˈfɔrm
conformance,kənˈfɔrməns
conformational,ˌkɑnfərˈmeɪʃənəl
conformed,kənˈfɔrmd
conforming,kənˈfɔrmɪŋ
conformist,kənˈfɔrmɪst
conformists,kənˈfɔrməsts
conformity,kənˈfɔrməti
conforms,kənˈfɔrmz
confound,ˈkɑnˌfaʊnd
confounded,kənˈfaʊndɪd
confounding,kənˈfaʊndɪŋ
confounds,kənˈfaʊndz
confront,kənˈfrənt
confrontation,ˌkɑnfrənˈteɪʃən
confrontational,ˌkɑnfrənˈteɪʃənəl
confrontations,ˌkɑnfrənˈteɪʃənz
confronted,kənˈfrəntɪd
